material_title,lesson_title,title,description,problem_type,question_text,expected_output,input_example
Python機械学習編,Lesson1,教師あり学習,「教師あり学習」の説明として正しいものはどれか？,choice,"A. 正解データを使わない学習\nB. 正解ラベル付きデータで学習する\nC. 強化報酬で学習する\nD. 無限ループする学習","B",""
Python機械学習編,Lesson1,教師なし学習,教師なし学習の特徴として正しいものはどれか？,choice,"A. ラベルあり\nB. 正解がある\nC. データの構造を見つける\nD. 常に分類問題","C",""
Python機械学習編,Lesson1,回帰とは,回帰問題の説明として正しいものはどれか？,choice,"A. カテゴリ分類\nB. 数値予測\nC. 画像生成\nD. 強化学習","B",""
Python機械学習編,Lesson1,分類とは,分類問題の説明として正しいものはどれか？,choice,"A. 数値予測\nB. グループ分け\nC. 回帰\nD. 時系列","B",""
Python機械学習編,Lesson1,教師あり学習の例,教師あり学習の具体例を1つ説明してください。,essay,"","例あり",""
Python機械学習編,Lesson1,回帰の例,回帰問題の例を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson1,分類の例,分類問題の例を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson1,教師なし学習の用途,教師なし学習が使われる場面を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson2,データ分割,データを訓練用とテスト用に分ける理由はどれか？,choice,"A. データ削減\nB. モデル評価のため\nC. 高速化\nD. メモリ削減","B",""
Python機械学習編,Lesson2,過学習,過学習の説明として正しいものはどれか？,choice,"A. 全く学習しない\nB. 訓練データだけに強い\nC. 常に精度が低い\nD. ランダム","B",""
Python機械学習編,Lesson2,正規化,正規化の目的はどれか？,choice,"A. データ削除\nB. 値のスケール調整\nC. ラベル削除\nD. 学習停止","B",""
Python機械学習編,Lesson2,欠損値処理,欠損値の処理として適切なものはどれか？,choice,"A. 無視のみ\nB. 平均値補完など\nC. 全削除のみ\nD. 使わない","B",""
Python機械学習編,Lesson2,データ分割理由,なぜ訓練とテストを分けるか説明してください。,essay,"","例あり",""
Python機械学習編,Lesson2,過学習対策,過学習を防ぐ方法を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson2,正規化必要性,なぜ正規化が必要か説明してください。,essay,"","例あり",""
Python機械学習編,Lesson2,前処理の重要性,前処理が重要な理由を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson3,線形回帰,線形回帰の特徴はどれか？,choice,"A. 非線形\nB. 直線で予測\nC. 分類専用\nD. 強化学習","B",""
Python機械学習編,Lesson3,決定木,決定木の特徴はどれか？,choice,"A. 深層学習\nB. 条件分岐\nC. ランダム\nD. 行列","B",""
Python機械学習編,Lesson3,KNN,KNNの特徴はどれか？,choice,"A. 事前学習なし\nB. ニューラルネット\nC. 勾配法\nD. 回帰不可","A",""
Python機械学習編,Lesson3,SVM,SVMの特徴はどれか？,choice,"A. 境界を最大化\nB. 回帰のみ\nC. 木構造\nD. 無学習","A",""
Python機械学習編,Lesson3,線形回帰説明,線形回帰を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson3,決定木利点,決定木のメリットを説明してください。,essay,"","例あり",""
Python機械学習編,Lesson3,KNN欠点,KNNのデメリットを説明してください。,essay,"","例あり",""
Python機械学習編,Lesson3,SVM用途,SVMの使いどころを説明してください。,essay,"","例あり",""
Python機械学習編,Lesson4,精度,Accuracyの意味はどれか？,choice,"A. 再現率\nB. 正解率\nC. 誤差\nD. 学習率","B",""
Python機械学習編,Lesson4,適合率,Precisionの意味はどれか？,choice,"A. 正しく予測した割合\nB. 全体精度\nC. 学習速度\nD. データ量","A",""
Python機械学習編,Lesson4,再現率,Recallの意味はどれか？,choice,"A. 見逃し防止\nB. 正解率\nC. 回帰\nD. 誤差","A",""
Python機械学習編,Lesson4,F1,F1スコアは何か？,choice,"A. 平均\nB. PrecisionとRecallの調和平均\nC. 最大値\nD. 最小値","B",""
Python機械学習編,Lesson4,Accuracy問題点,Accuracyの問題点を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson4,Precision重要性,Precisionが重要な場面を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson4,Recall重要性,Recallが重要な場面を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson4,F1理由,F1スコアを使う理由を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson5,特徴量とは,特徴量の説明として正しいものはどれか？,choice,"A. モデル\nB. 入力データ\nC. 出力結果\nD. 学習率","B",""
Python機械学習編,Lesson5,特徴量選択,特徴量選択の目的はどれか？,choice,"A. データ削除\nB. 精度向上\nC. 学習停止\nD. 可視化","B",""
Python機械学習編,Lesson5,ワンホット,ワンホットエンコーディングとは何か？,choice,"A. 数値変換\nB. カテゴリをベクトル化\nC. 削除\nD. 平均化","B",""
Python機械学習編,Lesson5,標準化,標準化の説明として正しいものはどれか？,choice,"A. 平均0分散1\nB. 最大値1\nC. 削除\nD. 固定値","A",""
Python機械学習編,Lesson5,特徴量重要性,特徴量が重要な理由を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson5,特徴量選択方法,特徴量選択の方法を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson5,ワンホット理由,なぜワンホットが必要か説明してください。,essay,"","例あり",""
Python機械学習編,Lesson5,前処理応用,前処理の工夫例を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson6,ハイパーパラメータ,ハイパーパラメータとは何か？,choice,"A. 学習後に決まる値\nB. 学習前に設定する値\nC. 出力\nD. データ","B",""
Python機械学習編,Lesson6,グリッドサーチ,グリッドサーチの説明はどれか？,choice,"A. ランダム探索\nB. 全組み合わせ探索\nC. 削除\nD. 分類","B",""
Python機械学習編,Lesson6,交差検証,交差検証の目的はどれか？,choice,"A. 高速化\nB. 精度評価安定化\nC. データ削除\nD. モデル削除","B",""
Python機械学習編,Lesson6,バイアス,バイアスとは何か？,choice,"A. 誤差の一種\nB. ノイズ\nC. データ量\nD. 学習率","A",""
Python機械学習編,Lesson6,ハイパーパラメータ重要性,なぜ重要か説明してください。,essay,"","例あり",""
Python機械学習編,Lesson6,交差検証説明,交差検証を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson6,グリッドサーチ利点,利点を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson6,改善方法,モデル精度を上げる方法を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson7,パイプライン,パイプラインの目的はどれか？,choice,"A. 可視化\nB. 前処理と学習の統合\nC. 削除\nD. 停止","B",""
Python機械学習編,Lesson7,データリーク,データリークとは何か？,choice,"A. データ削除\nB. テスト情報の混入\nC. 正規化\nD. 学習停止","B",""
Python機械学習編,Lesson7,過学習対策,正しい対策はどれか？,choice,"A. データ削除\nB. 正則化\nC. 学習停止\nD. 乱数","B",""
Python機械学習編,Lesson7,モデル保存,モデル保存の目的はどれか？,choice,"A. 削除\nB. 再利用\nC. 分割\nD. 可視化","B",""
Python機械学習編,Lesson7,パイプライン説明,パイプラインを説明してください。,essay,"","例あり",""
Python機械学習編,Lesson7,データリーク危険性,なぜ危険か説明してください。,essay,"","例あり",""
Python機械学習編,Lesson7,モデル運用,運用時の注意点を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson7,実務課題,実務での問題を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson8,全体フロー,Python機械学習編の流れとして正しいものはどれか？,choice,"A. 学習→収集\nB. データ収集→前処理→学習→評価\nC. 評価→収集\nD. 無作業","B",""
Python機械学習編,Lesson8,モデル選択,モデル選択で重要なものはどれか？,choice,"A. 見た目\nB. 問題に適したモデル\nC. ランダム\nD. サイズ","B",""
Python機械学習編,Lesson8,精度改善,精度改善で重要なものはどれか？,choice,"A. データ量\nB. 特徴量\nC. 両方\nD. 無関係","C",""
Python機械学習編,Lesson8,評価方法,適切な評価方法はどれか？,choice,"A. 訓練のみ\nB. テストデータ使用\nC. 無評価\nD. 適当","B",""
Python機械学習編,Lesson8,全体設計,MLシステムの流れを説明してください。,essay,"","例あり",""
Python機械学習編,Lesson8,改善戦略,精度改善の戦略を説明してください。,essay,"","例あり",""
Python機械学習編,Lesson8,実務設計,簡単なMLシステム設計を書いてください。,essay,"","例あり",""
Python機械学習編,Lesson8,プロジェクト,MLプロジェクトの進め方を説明してください。,essay,"","例あり",""
