material_title,lesson_title,title,description,problem_type,question_text,expected_output,input_example
Python初級編,Lesson3,足し算の結果,"次の結果を答えてください。",code,"print(10 + 20)","30",""
Python初級編,Lesson3,引き算の理解,"次の結果を答えてください。",code,"print(50 - 30)","20",""
Python初級編,Lesson3,掛け算,"次の結果を選びましょう。",choice,"print(6 * 3)\n\nA: 18\nB: 9\nC: 12","A",""
Python初級編,Lesson3,割り算,"次の結果を答えてください。",code,"print(10 / 2)","5.0",""
Python初級編,Lesson3,整数割り算,"//の意味を理解しましょう。",choice,"print(7 // 2)\n\nA: 3\nB: 3.5\nC: 2","A",""
Python初級編,Lesson3,余り,"%の意味を理解しましょう。",choice,"print(7 % 2)\n\nA: 1\nB: 3\nC: 2","A",""
Python初級編,Lesson3,計算順序,"計算の順番に注意してください。",code,"print(2 + 3 * 4)","14",""
Python初級編,Lesson3,応用計算,"複数の演算を組み合わせましょう。",code,"num1 = 10\nnum2 = 5\nprint((num1 + num2) * 2)","30",""
Python初級編,Lesson4,等しいか判定,"結果を選びましょう。",choice,"print(5 == 5)\n\nA: True\nB: False","A",""
Python初級編,Lesson4,大小比較,"結果を答えてください。",code,"print(10 > 5)","True",""
Python初級編,Lesson4,不等号,"結果を選びましょう。",choice,"print(3 < 1)\n\nA: True\nB: False","B",""
Python初級編,Lesson4,notの理解,"結果を答えてください。",code,"print(not True)","False",""
Python初級編,Lesson4,andの理解,"結果を選びましょう。",choice,"print(True and False)\n\nA: True\nB: False","B",""
Python初級編,Lesson4,orの理解,"結果を選びましょう。",choice,"print(False or True)\n\nA: True\nB: False","A",""
Python初級編,Lesson4,組み合わせ,"結果を答えてください。",code,"print((5 > 3) and (2 < 1))","False",""
Python初級編,Lesson4,応用論理,"結果を考えましょう。",essay,"Trueになる条件を1つ作ってください。","例：(5 > 3) and (2 < 4)",""
Python初級編,Lesson5,if文の基本,"条件がTrueのときの動きを考えましょう。",code,"if 5 > 3:\n    print(""OK"")","OK",""
Python初級編,Lesson5,if else,"結果を選びましょう。",choice,"num = 2\nif num > 5:\n    print(""A"")\nelse:\n    print(""B"")\n\nA: A\nB: B","B",""
Python初級編,Lesson5,forループ,"出力を答えてください。",code,"for i in range(1,4):\n    print(i)","1\n2\n3",""
Python初級編,Lesson5,whileループ,"出力を答えてください。",code,"i = 1\nwhile i <= 3:\n    print(i)\n    i += 1","1\n2\n3",""
